Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Temporary Titanium Abutment,temporary-titanium-abutment,"<p>Temporary Titanium Abutment variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Restorative Components,"temporary,titanium,restorative,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,TTA-SV-RP,,Variant,Engaging · L 8 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,1,Temporary Titanium Abutment — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,FALSE,Temporary Titanium Abutment | NOVA Implants USA,Shop Temporary Titanium Abutment from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,TTA-SV-RP,,,New,TRUE,,,,,
,temporary-titanium-abutment,,,,,,,,TTA-SV-RPR,,,Non-engaging · L 8 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,TTA-SV-RPR,,,New,TRUE,,,,,
PEEK Straight Abutment,peek-straight-abutment,"<p>PEEK Straight Abutment variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Restorative Components,"peek,straight,restorative,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,PA-SV-RP10,,Variant,H 1 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,1,PEEK Straight Abutment — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,FALSE,PEEK Straight Abutment | NOVA Implants USA,Shop PEEK Straight Abutment from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,PA-SV-RP10,,,New,TRUE,,,,,
,peek-straight-abutment,,,,,,,,PA-SV-RP20,,,H 2 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,PA-SV-RP20,,,New,TRUE,,,,,
,peek-straight-abutment,,,,,,,,PA-SV-RP30,,,H 3 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,PA-SV-RP30,,,New,TRUE,,,,,
,peek-straight-abutment,,,,,,,,PA-SV-RP40,,,H 4 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,PA-SV-RP40,,,New,TRUE,,,,,
PEEK Anatomic Angled Abutment — 15°,peek-anatomic-angled-abutment-15,"<p>PEEK Anatomic Angled Abutment — 15° variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Restorative Components,"peek,angled,restorative,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,PAA-SV-RP1510,,Variant,H 1 mm · L 9.5 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,1,PEEK Anatomic Angled Abutment — 15° — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,FALSE,PEEK Anatomic Angled Abutment — 15° | NOVA Implants USA,Shop PEEK Anatomic Angled Abutment — 15° from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,PAA-SV-RP1510,,,New,TRUE,,,,,
,peek-anatomic-angled-abutment-15,,,,,,,,PAA-SV-RP1520,,,H 2 mm · L 10.5 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,PAA-SV-RP1520,,,New,TRUE,,,,,
,peek-anatomic-angled-abutment-15,,,,,,,,PAA-SV-RP1530,,,H 3 mm · L 11.5 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,PAA-SV-RP1530,,,New,TRUE,,,,,
PEEK Anatomic Angled Abutment — 25°,peek-anatomic-angled-abutment-25,"<p>PEEK Anatomic Angled Abutment — 25° variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Restorative Components,"peek,angled,restorative,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,PAA-SV-RP2510,,Variant,H 1 mm · L 9.5 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,1,PEEK Anatomic Angled Abutment — 25° — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,FALSE,PEEK Anatomic Angled Abutment — 25° | NOVA Implants USA,Shop PEEK Anatomic Angled Abutment — 25° from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,PAA-SV-RP2510,,,New,TRUE,,,,,
,peek-anatomic-angled-abutment-25,,,,,,,,PAA-SV-RP2520,,,H 2 mm · L 10.5 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,PAA-SV-RP2520,,,New,TRUE,,,,,
,peek-anatomic-angled-abutment-25,,,,,,,,PAA-SV-RP2530,,,H 3 mm · L 11.5 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,PAA-SV-RP2530,,,New,TRUE,,,,,
Straight Abutment — Ø 4.5 mm,straight-abutment-4-5mm,"<p>Straight Abutment — Ø 4.5 mm variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Restorative Components,"straight,titanium,restorative,catalog-review,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,SA-SV-RP5,,Variant,L 5 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,1,Straight Abutment — Ø 4.5 mm — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,FALSE,Straight Abutment — Ø 4.5 mm | NOVA Implants USA,Shop Straight Abutment — Ø 4.5 mm from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,SA-SV-RP5,,,New,TRUE,,,,,
,straight-abutment-4-5mm,,,,,,,,SA-SV-RP7,,,L 7 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,SA-SV-RP7,,,New,TRUE,,,,,
,straight-abutment-4-5mm,,,,,,,,ST-1109,,,L 9 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,ST-1109,,,New,TRUE,,,,,
,straight-abutment-4-5mm,,,,,,,,ST-1113,,,L 12 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,ST-1113,,,New,TRUE,,,,,
,straight-abutment-4-5mm,,,,,,,,ST-1315,,,L 15 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,ST-1315,,,New,TRUE,,,,,
Straight Abutment — Wide Ø 5.5 mm,straight-abutment-wide-5-5mm,"<p>Straight Abutment — Wide Ø 5.5 mm variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Restorative Components,"straight,wide,titanium,restorative,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,SA-SV-RP9W,,Variant,L 9 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,1,Straight Abutment — Wide Ø 5.5 mm — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,FALSE,Straight Abutment — Wide Ø 5.5 mm | NOVA Implants USA,Shop Straight Abutment — Wide Ø 5.5 mm from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,SA-SV-RP9W,,,New,TRUE,,,,,
,straight-abutment-wide-5-5mm,,,,,,,,SA-SV-RP12W,,,L 12 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,SA-SV-RP12W,,,New,TRUE,,,,,
Straight Slim Abutment,straight-slim-abutment,"<p>Straight Slim Abutment variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Restorative Components,"straight,slim,titanium,restorative,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,SSA-SV-RP5,,Variant,L 5 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,1,Straight Slim Abutment — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,FALSE,Straight Slim Abutment | NOVA Implants USA,Shop Straight Slim Abutment from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,SSA-SV-RP5,,,New,TRUE,,,,,
,straight-slim-abutment,,,,,,,,SSA-SV-RP7,,,L 7 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,SSA-SV-RP7,,,New,TRUE,,,,,
,straight-slim-abutment,,,,,,,,STN-3811,,,L 9 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,STN-3811,,,New,TRUE,,,,,
Angled Abutment — 15°,angled-abutment-15,"<p>Angled Abutment — 15° variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Restorative Components,"angled,titanium,restorative,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,ANS-1115,,Variant,Profile N · L 9 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,1,Angled Abutment — 15° — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,FALSE,Angled Abutment — 15° | NOVA Implants USA,Shop Angled Abutment — 15° from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,ANS-1115,,,New,TRUE,,,,,
,angled-abutment-15,,,,,,,,ASM-1115,,,Profile M · L 9 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,ASM-1115,,,New,TRUE,,,,,
,angled-abutment-15,,,,,,,,ASM-1315,,,Profile M · L 11.5 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,ASM-1315,,,New,TRUE,,,,,
Angled Abutment — 25°,angled-abutment-25,"<p>Angled Abutment — 25° variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Restorative Components,"angled,titanium,restorative,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,ANS-1125,,Variant,Profile N · L 9 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,1,Angled Abutment — 25° — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,FALSE,Angled Abutment — 25° | NOVA Implants USA,Shop Angled Abutment — 25° from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,ANS-1125,,,New,TRUE,,,,,
,angled-abutment-25,,,,,,,,ASM-1125,,,Profile M · L 9 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,ASM-1125,,,New,TRUE,,,,,
,angled-abutment-25,,,,,,,,ASM-1325,,,Profile M · L 11.5 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,ASM-1325,,,New,TRUE,,,,,
Angled Abutment — 35° / 45°,angled-abutment-35-45,"<p>Angled Abutment — 35° / 45° variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Restorative Components,"angled,titanium,restorative,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,ASM-1135,,Variant,35° · L 9 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,1,Angled Abutment — 35° / 45° — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,FALSE,Angled Abutment — 35° / 45° | NOVA Implants USA,Shop Angled Abutment — 35° / 45° from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,ASM-1135,,,New,TRUE,,,,,
,angled-abutment-35-45,,,,,,,,ASM-1145,,,45° · L 9 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,ASM-1145,,,New,TRUE,,,,,
Straight Abutment with Shoulder,straight-abutment-with-shoulder,"<p>Straight Abutment with Shoulder variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Restorative Components,"straight,shoulder,titanium,restorative,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,TSTA-4710,,Variant,H 1 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,1,Straight Abutment with Shoulder — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,FALSE,Straight Abutment with Shoulder | NOVA Implants USA,Shop Straight Abutment with Shoulder from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,TSTA-4710,,,New,TRUE,,,,,
,straight-abutment-with-shoulder,,,,,,,,STA-4712,,,H 2 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,STA-4712,,,New,TRUE,,,,,
,straight-abutment-with-shoulder,,,,,,,,STA-4713,,,H 3 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,STA-4713,,,New,TRUE,,,,,
,straight-abutment-with-shoulder,,,,,,,,STA-4714,,,H 4 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,STA-4714,,,New,TRUE,,,,,
Anatomic Straight Abutment,anatomic-straight-abutment,"<p>Anatomic Straight Abutment variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Restorative Components,"anatomic,straight,titanium,restorative,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,SLM-3810,,Variant,H 1 mm · L 9.4 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,1,Anatomic Straight Abutment — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,FALSE,Anatomic Straight Abutment | NOVA Implants USA,Shop Anatomic Straight Abutment from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,SLM-3810,,,New,TRUE,,,,,
,anatomic-straight-abutment,,,,,,,,SLM-3820,,,H 2 mm · L 10.4 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,SLM-3820,,,New,TRUE,,,,,
,anatomic-straight-abutment,,,,,,,,SLM-3830,,,H 3 mm · L 11.4 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,SLM-3830,,,New,TRUE,,,,,
,anatomic-straight-abutment,,,,,,,,SLM-3840,,,H 4 mm · L 12.4 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,SLM-3840,,,New,TRUE,,,,,
Concave Anatomic Straight Abutment,concave-anatomic-straight-abutment,"<p>Concave Anatomic Straight Abutment variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Restorative Components,"concave,anatomic,straight,titanium,restorative,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,SCM-3010,,Variant,H 1 mm · L 9.4 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,1,Concave Anatomic Straight Abutment — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,FALSE,Concave Anatomic Straight Abutment | NOVA Implants USA,Shop Concave Anatomic Straight Abutment from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,SCM-3010,,,New,TRUE,,,,,
,concave-anatomic-straight-abutment,,,,,,,,SCM-3020,,,H 2 mm · L 10.4 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,SCM-3020,,,New,TRUE,,,,,
,concave-anatomic-straight-abutment,,,,,,,,SCM-3030,,,H 3 mm · L 11.4 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,,,,,,,,,,,,SCM-3030,,,New,TRUE,,,,,
Anatomic Angled Abutment — 15°,anatomic-angled-abutment-15,"<p>Anatomic Angled Abutment — 15° variants transcribed from the supplied NOVA product catalog. Use the catalog number and displayed dimensions to identify the required component.</p><p><strong>Professional use only.</strong> Confirm compatibility, labeling and the current Instructions for Use before ordering or clinical use.</p>",NOVA Implants USA,,Restorative Components,"anatomic,angled,titanium,restorative,internal-hex,regular-platform,catalog-2024,nova-usa,expanded-catalog",TRUE,Active,ANG-1115-10,,Variant,H 1 mm · L 9.4 mm,,,,,,,,25.00,,,TRUE,,,,,,shopify,500,DENY,,,TRUE,manual,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,1,Anatomic Angled Abutment — 15° — NOVA Implants USA,https://vqpqqw-ci.myshopify.com/cdn/shop/t/6/assets/nova-shop-chrome-cobalt.webp,FALSE,Anatomic Angled Abutment — 15° | NOVA Implants USA,Shop Anatomic Angled Abutment — 15° from NOVA Implants USA. Professional-use dental component with selectable catalog configurations.,,,,,ANG-1115-10,,,New,TRUE,,,,,
